x;y
133;-129
133;-125
133;-122
133;-120
133;-117
133;-115
133;-109
133;-106
133;-102
133;-95
133;-91
131;-87
129;-84
126;-77
124;-74
123;-71
123;-68
123;-68
123;-68
123;-68
123;-68
120;-68
114;-68
111;-68
108;-68
105;-68
105;-68
105;-68
105;-68
105;-68
102;-68
98;-68
94;-68
87;-68
83;-68
82;-68
82;-68
82;-68
82;-68
82;-68
81;-68
79;-68
75;-68
73;-68
71;-68
70;-67
70;-65
70;-63
70;-61
70;-57
70;-55
70;-53
70;-52
70;-50
70;-47
70;-44
70;-40
70;-35
70;-25
70;-21
68;-17
65;-10
63;-6
61;-3
60;0
59;8
59;13
59;18
59;22
57;31
53;32
49;32
45;32
41;32
34;32
30;34
27;39
21;48
18;53
14;57
11;60
3;60
0;60
-4;60
-7;60
-11;60
-16;63
-18;65
-21;66
-26;69
-28;71
-29;74
-33;78
-33;78
-36;83
-38;83
-41;83
-45;83
-48;83
-50;83
-53;90
-55;94
-57;97
-59;101
-60;104
-64;105
-71;105
-75;105
-79;105
-83;105
-87;110
-89;113
-91;117
-92;120
-97;125
-100;125
-104;125
-112;125
-116;125
-119;125
-121;125
-125;125
-127;125
