x;y
-125;110
-121;110
-114;110
-110;110
-107;110
-103;110
-103;110
-103;110
-103;110
-103;110
-100;110
-96;110
-93;110
-89;110
-82;109
-83;108
-87;106
-91;105
-95;103
-103;101
-102;101
-94;101
-91;101
-87;101
-83;101
-80;101
-85;101
-89;101
-94;101
-104;101
-106;101
-103;101
-99;101
-95;101
-92;101
-85;101
-84;101
-84;101
-83;101
-82;99
-81;98
-78;96
-72;93
-69;92
-66;92
-58;92
-53;92
-49;92
-44;92
-34;92
-30;92
-26;92
-22;92
-19;92
-11;92
-8;92
0;92
2;92
6;92
9;92
13;92
17;92
21;92
24;92
31;92
35;92
33;92
30;92
26;92
19;92
17;92
21;92
24;92
28;92
35;92
39;92
44;92
48;92
58;92
62;92
67;92
71;92
78;92
82;92
85;92
89;92
96;92
100;92
104;92
107;92
111;92
118;92
125;91
129;89
133;88
135;86
135;84
135;83
135;79
135;77
135;75
135;73
135;69
135;69
135;69
135;69
