x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-119
120;-117
120;-115
120;-111
120;-109
120;-108
120;-108
120;-108
120;-108
120;-108
120;-108
120;-104
120;-103
120;-101
120;-99
120;-97
120;-97
120;-97
120;-97
120;-97
120;-96
120;-94
120;-92
120;-88
120;-86
120;-84
120;-82
120;-78
120;-75
120;-73
120;-71
120;-67
120;-65
120;-63
120;-61
120;-56
120;-54
120;-51
120;-49
120;-43
120;-40
120;-37
120;-34
120;-27
120;-24
120;-20
120;-17
120;-11
120;-7
120;-4
120;-1
120;5
120;8
120;11
120;15
120;21
120;24
120;28
120;31
120;37
120;40
120;43
120;45
120;50
120;53
120;55
120;58
120;63
120;65
120;68
120;70
120;74
120;75
120;77
120;79
120;82
120;84
120;87
120;89
120;93
120;95
120;97
120;99
120;103
120;105
120;106
120;108
120;112
120;113
120;115
120;116
120;116
120;116
120;116
