x;y
120;116
120;114
120;112
120;109
120;107
120;102
120;100
120;97
120;95
120;91
120;89
120;87
120;86
120;83
120;81
120;80
120;78
120;78
120;78
120;78
120;78
120;80
120;83
120;88
120;90
120;93
120;94
120;94
117;94
111;94
100;94
95;94
89;94
85;94
81;94
79;95
77;97
75;99
74;101
74;105
74;107
74;107
74;107
70;107
66;107
62;107
59;104
52;99
49;97
46;94
39;90
36;88
32;87
30;85
27;81
25;81
23;81
21;81
18;81
16;81
14;80
13;78
9;74
8;72
6;70
5;66
2;56
1;51
1;47
1;42
1;35
1;33
1;30
0;28
-3;23
-4;23
-6;23
-7;23
-11;23
-12;23
-14;23
-16;23
-19;23
-21;23
-23;23
-24;22
-28;18
-30;17
-31;15
-33;13
-36;9
-38;6
-40;4
-43;-1
-44;-3
-46;-6
-47;-8
-48;-13
-48;-15
-48;-18
-48;-20
-48;-24
-48;-26
-50;-28
-52;-30
-55;-34
-57;-36
-58;-37
-61;-41
-61;-41
-64;-42
-66;-42
-67;-42
-67;-42
-67;-42
-67;-42
-67;-42
-67;-42
-71;-42
-73;-42
-74;-42
-78;-42
-80;-42
-82;-42
-85;-42
-90;-47
-92;-49
-94;-51
-96;-54
-99;-58
-101;-61
-103;-63
-104;-66
-106;-69
-109;-72
-110;-72
-112;-72
-113;-72
-113;-72
-113;-73
-113;-74
-113;-76
-115;-79
-116;-80
-118;-82
-121;-87
-122;-90
-122;-92
-122;-95
-122;-97
-122;-97
-122;-97
-122;-97
-122;-97
-122;-97
-122;-101
-123;-104
-125;-106
-126;-109
-130;-114
-131;-116
-133;-119
-133;-124
-133;-124
-133;-128
-133;-128
-133;-128
